1776;0;0
Elapsed time;Relative error;best fitness;optimal
0.315756;25.6757;2232;1776
0.317634;25.6757;2232;1776
0.319552;25.6757;2232;1776
0.322429;25.6757;2232;1776
0.324334;25.6757;2232;1776
0.32667;25.6757;2232;1776
0.328664;25.6757;2232;1776
0.330589;25.6757;2232;1776
0.3325;25.6757;2232;1776
0.334576;25.6757;2232;1776
0.336479;25.6757;2232;1776
0.338376;25.6757;2232;1776
0.340368;25.6757;2232;1776
0.3425;25.6757;2232;1776
0.34455;25.6757;2232;1776
0.346483;25.6757;2232;1776
0.348131;25.6757;2232;1776
0.350114;25.6757;2232;1776
0.351986;25.6757;2232;1776
0.353789;25.6757;2232;1776
0.355619;25.6757;2232;1776
0.357475;25.6757;2232;1776
0.359252;25.6757;2232;1776
0.361065;25.6757;2232;1776
0.362855;25.6757;2232;1776
0.364651;25.6757;2232;1776
0.366485;25.6757;2232;1776
0.368233;25.6757;2232;1776
0.369857;25.6757;2232;1776
0.371578;25.6757;2232;1776
0.373192;25.6757;2232;1776
0.374816;25.6757;2232;1776
0.37659;25.6757;2232;1776
0.378157;25.6757;2232;1776
0.37974;25.6757;2232;1776
0.38147;25.6757;2232;1776
0.383176;25.6757;2232;1776
0.384791;25.6757;2232;1776
0.386611;25.6757;2232;1776
0.388211;25.6757;2232;1776
0.389833;25.6757;2232;1776
0.391542;25.6757;2232;1776
0.393212;25.6757;2232;1776
0.394886;25.6757;2232;1776
0.396621;25.6757;2232;1776
0.398219;25.6757;2232;1776
0.400004;25.6757;2232;1776
0.401566;25.6757;2232;1776
0.403252;25.6757;2232;1776
0.40511;25.6757;2232;1776
0.406805;25.6757;2232;1776
0.409299;25.6757;2232;1776
0.411117;25.6757;2232;1776
0.412852;25.6757;2232;1776
0.414597;25.6757;2232;1776
0.416376;25.6757;2232;1776
0.417966;25.6757;2232;1776
0.419542;25.6757;2232;1776
0.421322;25.6757;2232;1776
0.423077;25.6757;2232;1776
0.424969;25.6757;2232;1776
0.426735;25.6757;2232;1776
0.42845;25.6757;2232;1776
0.430225;25.6757;2232;1776
0.431938;25.6757;2232;1776
0.433788;25.6757;2232;1776
0.435542;25.6757;2232;1776
0.437258;25.6757;2232;1776
0.439037;25.6757;2232;1776
0.440814;25.6757;2232;1776
0.443333;25.6757;2232;1776
0.44538;25.6757;2232;1776
0.447308;25.6757;2232;1776
0.449141;25.6757;2232;1776
0.450939;25.6757;2232;1776
0.452559;25.6757;2232;1776
0.454109;25.6757;2232;1776
0.455626;25.6757;2232;1776
0.457263;25.6757;2232;1776
0.458951;25.6757;2232;1776
0.460612;25.6757;2232;1776
0.462365;25.6757;2232;1776
0.463944;25.6757;2232;1776
0.465658;25.6757;2232;1776
0.467353;25.6757;2232;1776
0.46897;25.6757;2232;1776
0.470639;25.6757;2232;1776
0.472236;25.6757;2232;1776
0.473856;25.6757;2232;1776
0.475321;25.6757;2232;1776
0.477064;25.6757;2232;1776
0.478588;25.6757;2232;1776
0.480107;25.6757;2232;1776
0.481727;25.6757;2232;1776
0.483459;25.6757;2232;1776
0.485022;25.6757;2232;1776
0.486641;25.6757;2232;1776
0.488253;25.6757;2232;1776
0.48984;25.6757;2232;1776
0.491351;25.6757;2232;1776
0.492808;25.6757;2232;1776
0.494282;25.6757;2232;1776
0.49577;25.6757;2232;1776
0.497217;25.6757;2232;1776
0.498779;25.6757;2232;1776
0.500366;25.6757;2232;1776
0.501971;25.6757;2232;1776
0.50348;25.6757;2232;1776
0.504942;25.6757;2232;1776
0.50654;25.6757;2232;1776
0.50829;25.6757;2232;1776
0.509837;25.6757;2232;1776
0.511269;25.6757;2232;1776
0.5127;25.6757;2232;1776
0.514255;25.6757;2232;1776
0.515827;25.6757;2232;1776
0.517452;25.6757;2232;1776
0.51892;25.6757;2232;1776
0.520385;25.6757;2232;1776
0.521726;25.6757;2232;1776
0.523256;25.6757;2232;1776
0.524814;25.6757;2232;1776
0.526321;25.6757;2232;1776
0.527795;25.6757;2232;1776
0.529268;25.6757;2232;1776
0.530818;25.6757;2232;1776
0.532442;25.6757;2232;1776
0.53401;25.6757;2232;1776
0.535504;25.6757;2232;1776
0.537078;25.6757;2232;1776
0.538636;25.6757;2232;1776
0.539951;25.6757;2232;1776
0.54154;25.6757;2232;1776
0.543117;25.6757;2232;1776
0.54452;25.6757;2232;1776
0.546092;25.6757;2232;1776
0.547621;25.6757;2232;1776
0.549162;25.6757;2232;1776
0.550598;25.6757;2232;1776
0.552069;25.6757;2232;1776
0.553755;25.6757;2232;1776
0.55523;25.6757;2232;1776
0.556756;25.6757;2232;1776
0.558419;25.6757;2232;1776
0.559926;25.6757;2232;1776
0.561393;25.6757;2232;1776
0.562837;25.6757;2232;1776
0.564275;25.6757;2232;1776
0.565719;25.6757;2232;1776
0.567232;25.6757;2232;1776
0.568686;25.6757;2232;1776
0.570054;25.6757;2232;1776
0.571441;25.6757;2232;1776
0.572765;25.6757;2187;1776
0.574293;23.1419;2187;1776
0.57578;23.1419;2187;1776
0.577178;23.1419;2187;1776
0.578691;23.1419;2187;1776
0.580085;23.1419;2187;1776
0.581598;23.1419;2128;1776
0.582952;19.8198;2128;1776
0.584385;19.8198;2128;1776
0.585886;19.8198;2128;1776
0.587229;19.8198;2128;1776
0.588925;19.8198;2128;1776
0.590317;19.8198;2128;1776
0.591804;19.8198;2128;1776
0.593182;19.8198;2128;1776
0.594751;19.8198;2128;1776
0.596208;19.8198;2128;1776
0.597652;19.8198;2128;1776
0.599058;19.8198;2128;1776
0.600579;19.8198;2128;1776
0.602016;19.8198;2128;1776
0.603501;19.8198;2128;1776
0.604987;19.8198;2128;1776
0.606483;19.8198;2128;1776
0.608037;19.8198;2128;1776
0.609613;19.8198;2128;1776
0.611114;19.8198;2128;1776
0.612667;19.8198;2128;1776
0.61396;19.8198;2128;1776
